inv_number,customer_id,InvoiceDate,Stockcodenew,Description,new_quantity,UnitPrice,TotalPrice
536365,17850,26:00.0,71053,WHITE METAL LANTERN,6,3.39,20.34
536365,17850,26:00.0,85123,WHITE HANGING HEART T-LIGHT HOLDER,6,2.55,15.3
536367,13047,34:00.0,84879,ASSORTED COLOUR BIRD ORNAMENT,32,1.69,54.08
536368,13047,34:00.0,22912,YELLOW COAT RACK PARIS FASHION,3,4.95,14.85
536370,12583,45:00.0,22492,MINI PAINT SET VINTAGE,36,0.65,23.4
536370,12583,45:00.0,22544,MINI JIGSAW SPACEBOY,24,0.42,10.08
536370,12583,45:00.0,22629,SPACEBOY LUNCH BOX,24,1.95,46.8
536370,12583,45:00.0,22727,ALARM CLOCK BAKELIKE RED,24,3.75,90
536375,17850,32:00.0,21871,SAVE THE PLANET MUG,6,1.06,6.36
536375,17850,32:00.0,37370,RETRO COFFEE MUGS ASSORTED,6,1.06,6.36
536375,17850,32:00.0,82486,WOOD S/3 CABINET ANT WHITE FINISH,4,6.95,27.8
536378,14688,37:00.0,20723,STRAWBERRY CHARLOTTE BAG,10,0.85,8.5
536378,14688,37:00.0,21212,PACK OF 72 RETROSPOT CAKE CASES,120,0.42,50.4
536381,15311,41:00.0,21533,RETROSPOT LARGE MILK JUG,1,4.95,4.95
536381,15311,41:00.0,21934,SKULL SHOULDER BAG,10,1.65,16.5
536381,15311,41:00.0,22139,RETROSPOT TEA SET CERAMIC 11 PC,23,4.25,97.75
536381,15311,41:00.0,22771,CLEAR DRAWER KNOB ACRYLIC EDWARDIAN,24,1.25,30
536381,15311,41:00.0,84854,GIRLY PINK TOOL SET,5,4.95,24.75
536382,16098,45:00.0,21832,CHOCOLATE CALCULATOR,12,1.65,19.8
536382,16098,45:00.0,21912,VINTAGE SNAKES & LADDERS,8,3.75,30
536382,16098,45:00.0,22381,TOY TIDY PINK POLKADOT,50,1.85,92.5
536382,16098,45:00.0,22783,SET 3 WICKER OVAL BASKETS W LIDS,4,16.95,67.8
536385,17420,56:00.0,22960,JAM MAKING SET WITH JARS,6,4.25,25.5
536388,16250,59:00.0,21755,LOVE BUILDING BLOCK WORD,3,5.95,17.85
536388,16250,59:00.0,22915,ASSORTED BOTTLE TOP  MAGNETS,12,0.42,5.04
536389,12431,03:00.0,22195,LARGE HEART MEASURING SPOONS,24,1.65,39.6
536390,17511,19:00.0,21080,SET/20 RED RETROSPOT PAPER NAPKINS,96,0.64,61.44
536390,17511,19:00.0,22961,JAM MAKING SET PRINTED,12,1.45,17.4
536392,13705,29:00.0,84879,ASSORTED COLOUR BIRD ORNAMENT,16,1.69,27.04
536394,13408,39:00.0,85123,WHITE HANGING HEART T-LIGHT HOLDER,32,2.55,81.6
536394,13408,39:00.0,85152,HAND OVER THE CHOCOLATE   SIGN,12,2.1,25.2
536396,17850,51:00.0,20679,EDWARDIAN PARASOL RED,6,4.95,29.7
536396,17850,51:00.0,21071,VINTAGE BILLBOARD DRINK ME MUG,6,1.06,6.36
536398,13448,52:00.0,22111,SCOTTIE DOG HOT WATER BOTTLE,9,4.95,44.55
536398,13448,52:00.0,22112,CHOCOLATE HOT WATER BOTTLE,9,4.95,44.55
536398,13448,52:00.0,22632,HAND WARMER RED RETROSPOT,12,2.1,25.2
536398,13448,52:00.0,22865,HAND WARMER OWL DESIGN,12,2.1,25.2
536401,15862,21:00.0,21122,SET/10 PINK POLKADOT PARTY CANDLES,1,1.25,1.25
536401,15862,21:00.0,21328,BALLOONS  WRITING SET,1,1.65,1.65
536401,15862,21:00.0,21463,MIRRORED DISCO BALL,1,5.95,5.95
536401,15862,21:00.0,22100,SKULLS SQUARE TISSUE BOX,2,1.25,2.5
536401,15862,21:00.0,22804,CANDLEHOLDER PINK HANGING HEART,3,2.95,8.85
536404,16218,29:00.0,20728,LUNCH BAG CARS BLUE,10,1.65,16.5
536404,16218,29:00.0,21062,PARTY INVITES SPACEMAN,12,0.85,10.2
536404,16218,29:00.0,21126,SET OF 6 GIRLS CELEBRATION CANDLES,12,1.25,15
536404,16218,29:00.0,22772,PINK DRAWER KNOB ACRYLIC EDWARDIAN,12,1.25,15
536404,16218,29:00.0,22805,BLUE DRAWER KNOB ACRYLIC EDWARDIAN,12,1.25,15
536406,17850,33:00.0,21871,SAVE THE PLANET MUG,6,1.06,6.36
536406,17850,33:00.0,82482,WOODEN PICTURE FRAME WHITE FINISH,6,2.1,12.6
536406,17850,33:00.0,84029,KNITTED UNION FLAG HOT WATER BOTTLE,6,3.39,20.34
536408,14307,41:00.0,20685,DOORMAT RED RETROSPOT,2,7.95,15.9
536408,14307,41:00.0,20982,12 PENCILS TALL TUBE SKULLS,12,0.85,10.2
536408,14307,41:00.0,21210,SET OF 72 RETROSPOT PAPER  DOILIES,12,1.45,17.4
536408,14307,41:00.0,21587,COSY HOUR GIANT TUBE MATCHES,12,2.55,30.6
536408,14307,41:00.0,22219,LOVEBIRD HANGING DECORATION WHITE,12,0.85,10.2
536408,14307,41:00.0,22620,4 TRADITIONAL SPINNING TOPS,12,1.25,15
536408,14307,41:00.0,84970,SINGLE HEART ZINC T-LIGHT HOLDER,12,0.95,11.4
536409,17908,45:00.0,20966,SANDWICH BATH SPONGE,2,1.25,2.5
536409,17908,45:00.0,21931,JUMBO STORAGE BAG SUKI,2,1.95,3.9
536409,17908,45:00.0,22074,6 RIBBONS SHIMMERING PINKS,1,1.65,1.65
536409,17908,45:00.0,22183,CAKE STAND VICTORIAN FILIGREE MED,1,6.75,6.75
536409,17908,45:00.0,22633,HAND WARMER UNION JACK,1,2.1,2.1
536409,17908,45:00.0,72802,VANILLA SCENT CANDLE JEWELLED BOX,1,4.25,4.25
536412,17920,49:00.0,21880,RED RETROSPOT TAPE,10,0.65,6.5
536412,17920,49:00.0,22274,FELTCRAFT DOLL EMILY,2,2.95,5.9
536415,12838,57:00.0,22321,BIRD DECORATION RED RETROSPOT,12,0.85,10.2
536415,12838,57:00.0,22565,FELTCRAFT HAIRBANDS PINK AND WHITE,3,0.85,2.55
536415,12838,57:00.0,22566,FELTCRAFT HAIRBAND PINK AND PURPLE,3,0.85,2.55
536415,12838,57:00.0,22580,ADVENT CALENDAR GINGHAM SACK,1,5.95,5.95
536415,12838,57:00.0,22616,PACK OF 12 LONDON TISSUES,12,0.29,3.48
536415,12838,57:00.0,22632,HAND WARMER RED RETROSPOT,3,2.1,6.3
536415,12838,57:00.0,22736,RIBBON REEL MAKING SNOWMEN,3,1.65,4.95
536415,12838,57:00.0,22834,HAND WARMER BABUSHKA DESIGN,3,2.1,6.3
536415,12838,57:00.0,22865,HAND WARMER OWL DESIGN,3,2.1,6.3
536415,12838,57:00.0,22940,FELTCRAFT CHRISTMAS FAIRY,2,4.25,8.5
536415,12838,57:00.0,35591,TURQUOISE CHRISTMAS TREE,2,1.25,2.5
536423,18085,08:00.0,22111,SCOTTIE DOG HOT WATER BOTTLE,16,4.95,79.2
536423,18085,08:00.0,22632,HAND WARMER RED RETROSPOT,12,2.1,25.2
536423,18085,08:00.0,22837,HOT WATER BOTTLE BABUSHKA,8,4.65,37.2
536437,13694,12:00.0,22059,CERAMIC STRAWBERRY DESIGN MUG,48,1.25,60
536446,15983,15:00.0,10133,COLOURING PENCILS BROWN TUBE,5,0.85,4.25
536446,15983,15:00.0,16014,SMALL CHINESE STYLE SCISSOR,10,0.42,4.2
536446,15983,15:00.0,20773,BLUE PAISLEY NOTEBOOK,2,1.65,3.3
536446,15983,15:00.0,20777,CHRYSANTHEMUM NOTEBOOK,2,1.65,3.3
536446,15983,15:00.0,21586,KINGS CHOICE GIANT TUBE MATCHES,4,2.55,10.2
536446,15983,15:00.0,21587,COSY HOUR GIANT TUBE MATCHES,4,2.55,10.2
536446,15983,15:00.0,22144,CHRISTMAS CRAFT LITTLE FRIENDS,2,2.1,4.2
536446,15983,15:00.0,22620,4 TRADITIONAL SPINNING TOPS,6,1.25,7.5
536460,14849,22:00.0,21259,VICTORIAN SEWING BOX SMALL,2,5.95,11.9
536460,14849,22:00.0,22670,FRENCH WC SIGN BLUE METAL,12,1.25,15
536460,14849,22:00.0,22925,BLUE GIANT GARDEN THERMOMETER,2,5.95,11.9
536464,17968,23:00.0,21327,SKULLS WRITING SET,1,1.65,1.65
536464,17968,23:00.0,21985,PACK OF 12 HEARTS DESIGN TISSUES,1,0.29,0.29
536464,17968,23:00.0,22582,PACK OF 6 SWEETIE GIFT BOXES,1,2.55,2.55
536464,17968,23:00.0,22585,PACK OF 6 BIRDY GIFT TAGS,3,1.25,3.75
536464,17968,23:00.0,22731,3D CHRISTMAS STAMPS STICKERS,2,1.25,2.5
536464,17968,23:00.0,22813,PACK 3 BOXES BIRD PANNETONE,2,1.95,3.9
536464,17968,23:00.0,22910,PAPER CHAIN KIT VINTAGE CHRISTMAS,1,2.95,2.95
536464,17968,23:00.0,22945,CHRISTMAS METAL TAGS ASSORTED,6,0.85,5.1
536464,17968,23:00.0,85095,THREE CANVAS LUGGAGE TAGS,1,1.95,1.95
536464,17968,23:00.0,85231,ORANGE SCENTED SET/9 T-LIGHTS,1,0.85,0.85
536488,17897,31:00.0,21592,RETROSPOT CIGAR BOX MATCHES,1,1.25,1.25
536488,17897,31:00.0,84347,ROTATING SILVER ANGELS T-LIGHT HLDR,1,2.55,2.55
536488,17897,31:00.0,84558,3D DOG PICTURE PLAYING CARDS,1,2.95,2.95
536500,17377,35:00.0,21035,SET/2 RED RETROSPOT TEA TOWELS,3,2.95,8.85
536500,17377,35:00.0,22895,SET OF 2 TEA TOWELS APPLE AND PEARS,3,2.95,8.85
536508,17181,38:00.0,21326,AGED GLASS SILVER T-LIGHT HOLDER,144,0.55,79.2
536520,14729,43:00.0,21034,REX CASH+CARRY JUMBO SHOPPER,2,0.95,1.9
536520,14729,43:00.0,21122,SET/10 PINK POLKADOT PARTY CANDLES,1,1.25,1.25
536520,14729,43:00.0,21588,RETROSPOT GIANT TUBE MATCHES,3,2.55,7.65
536520,14729,43:00.0,21804,WHITE CHRISTMAS GARLAND STARS TREES,3,3.75,11.25
